"ID", "Language","Language.code"
"1","Afrikaans (South Africa)","af-ZA"
"2","Arabic","ar-XA"
"40","Basque (Spain)","eu-ES"
"41","Bengali (India)","bn-IN"
"79","Bulgarian (Bulgaria)","bg-BG"
"110","Catalan (Spain)","ca-ES"
"111","Chinese (Hong Kong)","yue-HK"
"145","Croatian (Croatia)","hr-HR"
"175","Czech (Czech Republic)","cs-CZ"
"207","Danish (Denmark)","da-DK"
"242","Dutch (Belgium)","nl-BE"
"276","Dutch (Netherlands)","nl-NL"
"310","English (Australia)","en-AU"
"359","English (India)","en-IN"
"408","English (UK)","en-GB"
"471","English (US)","en-US"
"570","Estonian (Estonia)","et-EE"
"601","Filipino (Philippines)","fil-PH"
"611","Finnish (Finland)","fi-FI"
"643","French (Canada)","fr-CA"
"688","French (France)","fr-FR"
"730","Galician (Spain)","gl-ES"
"731","German (Germany)","de-DE"
"773","Greek (Greece)","el-GR"
"805","Gujarati (India)","gu-IN"
"843","Hebrew (Israel)","he-IL"
"881","Hindi (India)","hi-IN"
"927","Hungarian (Hungary)","hu-HU"
"959","Icelandic (Iceland)","is-IS"
"960","Indonesian (Indonesia)","id-ID"
"998","Italian (Italy)","it-IT"
"1038","Japanese (Japan)","ja-JP"
"1079","Kannada (India)","kn-IN"
"1117","Korean (South Korea)","ko-KR"
"1158","Latvian (Latvia)","lv-LV"
"1189","Lithuanian (Lithuania)","lt-LT"
"1220","Malay (Malaysia)","ms-MY"
"1228","Malayalam (India)","ml-IN"
"1266","Mandarin Chinese","cmn-CN"
"1304","Mandarin Chinese","cmn-TW"
"1310","Marathi (India)","mr-IN"
"1346","Norwegian (Norway)","nb-NO"
"1380","Polish (Poland)","pl-PL"
"1414","Portuguese (Brazil)","pt-BR"
"1457","Portuguese (Portugal)","pt-PT"
"1461","Punjabi (India)","pa-IN"
"1499","Romanian (Romania)","ro-RO"
"1531","Russian (Russia)","ru-RU"
"1549","Serbian (Cyrillic)","sr-RS"
"1580","Slovak (Slovakia)","sk-SK"
"1612","Slovenian (Slovenia)","sl-SI"
"1642","Spanish (Spain)","es-ES"
"1691","Spanish (US)","es-US"
"1739","Swedish (Sweden)","sv-SE"
"1783","Tamil (India)","ta-IN"
"1821","Telugu (India)","te-IN"
"1855","Thai (Thailand)","th-TH"
"1887","Turkish (Turkey)","tr-TR"
"1927","Ukrainian (Ukraine)","uk-UA"
"1959","Urdu (India)","ur-IN"
"1993","Vietnamese (Vietnam)","vi-VN"
